"","Mada.100","Mada.1007","Mada.1497","Mada.1515","Mada.2548","Mada.2842","Mada.2866","Mada.3112","Mada.3162","Mada.3485","Mada.3537","Mada.3666","Mada.3707","Mada.384","Mada.407","Mada.41","Mada.4301","Mada.4306","Mada.4313"
"Mada.100",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.1007",0.0606060606060606,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.1497",0.062200956937799,0.0542264752791069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.1515",0.0590111642743222,0.0223285486443381,0.0382775119617225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.2548",0.0111642743221691,0.0558213716108453,0.05103668261563,0.05103668261563,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.2842",0.0781499202551834,0.0350877192982456,0.0701754385964912,0.0414673046251994,0.0701754385964912,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.2866",0.0653907496012759,0.0382775119617225,0.062200956937799,0.0350877192982456,0.0558213716108453,0.0334928229665072,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.3112",0.0637958532695375,0.0303030303030303,0.0494417862838915,0.0159489633173844,0.0590111642743222,0.0446570972886762,0.0494417862838915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.3162",0.0606060606060606,0.0175438596491228,0.0526315789473684,0.0207336523125997,0.0526315789473684,0.0287081339712919,0.0350877192982456,0.0239234449760766,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.3485",0.0558213716108453,0.0446570972886762,0.0430622009569378,0.0478468899521531,0.0478468899521531,0.05103668261563,0.0494417862838915,0.0606060606060606,0.0398724082934609,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.3537",0.0494417862838915,0.025518341307815,0.0494417862838915,0.0191387559808612,0.0446570972886762,0.0446570972886762,0.0287081339712919,0.0271132376395534,0.0223285486443381,0.0558213716108453,0,NA,NA,NA,NA,NA,NA,NA,NA
"Mada.3666",0.0653907496012759,0.0637958532695375,0.0462519936204147,0.062200956937799,0.0669856459330144,0.0733652312599681,0.0685805422647528,0.0733652312599681,0.0590111642743222,0.0526315789473684,0.0653907496012759,0,NA,NA,NA,NA,NA,NA,NA
"Mada.3707",0.0590111642743222,0.0239234449760766,0.0430622009569378,0.0127591706539075,0.0542264752791069,0.0446570972886762,0.0478468899521531,0.0175438596491228,0.0271132376395534,0.0606060606060606,0.0287081339712919,0.0653907496012759,0,NA,NA,NA,NA,NA,NA
"Mada.384",0.0558213716108453,0.0111642743221691,0.0478468899521531,0.0191387559808612,0.05103668261563,0.025518341307815,0.0350877192982456,0.0239234449760766,0.00797448165869218,0.0414673046251994,0.0239234449760766,0.0574162679425837,0.0191387559808612,0,NA,NA,NA,NA,NA
"Mada.407",0.12280701754386,0.114832535885167,0.106858054226475,0.100478468899522,0.114832535885167,0.12280701754386,0.116427432216906,0.106858054226475,0.105263157894737,0.118022328548644,0.110047846889952,0.118022328548644,0.106858054226475,0.106858054226475,0,NA,NA,NA,NA
"Mada.41",0.0637958532695375,0.0350877192982456,0.0494417862838915,0.0143540669856459,0.0558213716108453,0.0478468899521531,0.0446570972886762,0.0143540669856459,0.0271132376395534,0.0606060606060606,0.0303030303030303,0.0637958532695375,0.0175438596491228,0.0271132376395534,0.106858054226475,0,NA,NA,NA
"Mada.4301",0.0813397129186603,0.0813397129186603,0.0797448165869219,0.0717703349282297,0.0749601275917065,0.0893141945773525,0.0829346092503987,0.0749601275917065,0.0669856459330144,0.076555023923445,0.0781499202551834,0.0861244019138756,0.0781499202551834,0.0717703349282297,0.0733652312599681,0.0781499202551834,0,NA,NA
"Mada.4306",0.0574162679425837,0.0223285486443381,0.0382775119617225,0.00797448165869218,0.0526315789473684,0.0398724082934609,0.0430622009569378,0.0127591706539075,0.0223285486443381,0.0558213716108453,0.0239234449760766,0.0637958532695375,0.00478468899521531,0.0143540669856459,0.10207336523126,0.0159489633173844,0.0733652312599681,0,NA
"Mada.4313",0.0813397129186603,0.0813397129186603,0.0797448165869219,0.0717703349282297,0.0749601275917065,0.0893141945773525,0.0829346092503987,0.0749601275917065,0.0669856459330144,0.076555023923445,0.0781499202551834,0.0861244019138756,0.0781499202551834,0.0717703349282297,0.0733652312599681,0.0781499202551834,0,0.0733652312599681,0
